description,SRR11735465,SRR11735466,SRR11735467,SRR11735468,SRR11735469,SRR11735471,SRR11735472,SRR11735473,SRR11735474,SRR11735475,SRR11735476,SRR11735477,SRR11735478,SRR11735479,SRR11735480,SRR11735481,SRR11735482,SRR11735483,SRR11735484,SRR11735485,SRR11735486,SRR11735487,SRR11735488,SRR11735489,SRR11735490,SRR11735491,SRR11735492,SRR11735493,SRR11735494,SRR11735495,SRR11735496,SRR11735497,SRR11735498,SRR11735499,SRR11735500,SRR11735501,SRR11735502,SRR11735504,SRR11735505,SRR11735506,SRR5136859,SRR5136860,SRR5136861,SRR5136862,SRR5136863,SRR5136864,SRR5136865,SRR5136866,SRR5136867,SRR5136868,SRR5136869,SRR5136870,SRR5136871,SRR5136872,SRR5136873,SRR5136874,SRR5136875,SRR5136876,SRR17519993,SRR17519994,SRR17519995,SRR17519996,SRR17519997,SRR17519998,SRR17519999,SRR17520001,SRR17520002,SRR17520003,SRR17520004,SRR17520005,SRR17520006,SRR17520007,SRR17520008,SRR17520009,SRR17520010,SRR17520011,SRR17520012,SRR17520013,SRR17520014,SRR17520015,SRR17520016,SRR17520017,SRR17520018,SRR17520019,SRR17520020,SRR17520021,SRR17520022,SRR17520023,SRR17520024,SRR17520025,SRR17520026,SRR17520027,SRR17520029,SRR17520030,SRR17520031,SRR17520032,SRR17520033,SRR17520034,SRR17520035,SRR17520036,SRR17520037,SRR17520038,SRR17520039,SRR17520040,SRR17520041,SRR17520042,SRR17520043,SRR17520044,SRR17520045,SRR17520046,SRR17520047,SRR17520048,SRR17520049,SRR17520050,SRR17520051,SRR17520052,SRR17520053,SRR17520054,SRR17520055,SRR17520056,SRR17520057,SRR17520058,SRR17520059,SRR17520060,SRR17520061,SRR17520062,SRR17520063,SRR17520064,SRR17520065,SRR17520066,SRR17520067,SRR17520068,SRR10120013.fastq,SRR10120014.fastq,SRR10120015.fastq,SRR10120016.fastq,SRR10120017.fastq,SRR10120018.fastq,SRR10120019.fastq,SRR10120020.fastq,SRR10120021.fastq,SRR10120022.fastq,SRR10120023.fastq,SRR10120024.fastq,SRR10120025.fastq,SRR10120026.fastq,SRR10120027.fastq,SRR10120028.fastq,SRR10120029.fastq,SRR10120030.fastq,SRR10120031.fastq,SRR10120032.fastq,SRR10120033.fastq,SRR10120034.fastq,SRR10120035.fastq,SRR10120036.fastq,SRR10120037.fastq,SRR10120038.fastq,SRR10120039.fastq,SRR10120040.fastq,SRR10120041.fastq,SRR10120042.fastq,SRR10120043.fastq,SRR10120044.fastq,SRR10120045.fastq,SRR10120046.fastq,SRR10120047.fastq,SRR10120048.fastq,SRR10120049.fastq,SRR10120050.fastq,SRR10120051.fastq,SRR10120052.fastq,SRR10120053.fastq,SRR10120054.fastq,SRR10120055.fastq,SRR10120056.fastq,SRR10120057.fastq,SRR10120058.fastq,SRR10120059.fastq,SRR10120060.fastq,SRR10120061.fastq,SRR10120062.fastq,SRR10120063.fastq,SRR10120064.fastq,SRR10120065.fastq,SRR10120066.fastq,SRR10120067.fastq,SRR10120068.fastq,SRR10120069.fastq,SRR10120070.fastq,SRR10120071.fastq,SRR10120072.fastq,SRR10120073.fastq,SRR10120074.fastq,SRR10120075.fastq,SRR10120076.fastq,SRR10120077.fastq,SRR10120078.fastq,SRR10120079.fastq,SRR10120080.fastq,SRR10120081.fastq,SRR10120082.fastq,SRR10120083.fastq,SRR10120084.fastq,SRR10120085.fastq,SRR10120087.fastq,SRR10120088.fastq,SRR10120089.fastq,SRR10120090.fastq,SRR10120091.fastq,SRR10120092.fastq,SRR10120093.fastq,SRR10120094.fastq,SRR10120095.fastq,SRR10120096.fastq,SRR10120097.fastq,SRR10120098.fastq,SRR10120099.fastq,SRR10120100.fastq,SRR10120101.fastq,SRR10120102.fastq,SRR10120103.fastq,SRR10120104.fastq,SRR10120105.fastq,SRR10120106.fastq,SRR10120107.fastq,SRR10120108.fastq,SRR10120109.fastq,SRR10120110.fastq,SRR10120111.fastq,SRR10120112.fastq,SRR10120113.fastq,SRR10120114.fastq,SRR10120115.fastq,SRR10120116.fastq,SRR10120117.fastq,SRR10120118.fastq,SRR10120119.fastq,SRR10120120.fastq,SRR10120121.fastq,SRR10120122.fastq,SRR10120123.fastq,SRR10120124.fastq,SRR14320148,SRR14320149,SRR14320150,SRR14320151,SRR14320152,SRR14320153,SRR14320154,SRR14320155,SRR14320156,SRR14320157,SRR14320158,SRR14320159,SRR14320160,SRR14320161,SRR14320162,SRR14320163,SRR14320164,SRR14320165,SRR14320166,SRR14320167,SRR14320168,SRR14320169,SRR14320170,SRR14320171,SRR14320172,SRR14320173,SRR14320174,SRR14320175,SRR14320176,SRR14320177,SRR14320178,SRR14320179,SRR14320180,SRR14320181,SRR14320182,SRR14320183,SRR14320184,SRR14320185,SRR14320186,SRR14320187,SRR14320188,SRR14320189,SRR14320190,SRR14320191,SRR14320192,SRR14320193,SRR14320194,SRR14320195,SRR14320196,SRR14320197,SRR14320198,SRR14320199,SRR14320200,SRR14320201,SRR14320202,SRR14320203,SRR14320204,SRR14320205,SRR14320206,SRR14320207,SRR14320208,SRR14320209,SRR14320210,SRR14320211,SRR14320212,SRR14320213,SRR14320214,SRR14320215,SRR14320216,SRR14320217,SRR14320218,SRR14320219,SRR14320220,SRR14320221,SRR14320222,SRR14320223,SRR14320224,SRR14320225,SRR14320226,SRR14320227,SRR14320228,SRR14320229,SRR14320230,SRR14320231,SRR14320232,SRR14320233,SRR14320234,SRR14320235,SRR14320236,SRR14320237,SRR14320238,SRR14320239,SRR14320240,SRR14320241,SRR14320242,SRR14320243,SRR14320244,SRR14320245,SRR14320246,SRR14320247,SRR14320248,SRR14320249,SRR14320250,SRR14320251,SRR14320252,SRR14320253,SRR14320254,SRR14320255
superpathway of hexitol degradation (bacteria),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,12,2,2,6,17,1,5,2,14,10,9,3,0,5,7,5,7,4,12,8,4,6,12,3,4,1,9,9,4,1,14,1,5,1,6,5,0,2,6,7,3,6,8,4,0,5,5,2,8,0,1,6,4,17,7,5,6,7,6,1,10,5,4,8,8,6,6,7,15,12,4,2,9,17,2,10,2,0,3,3,6,20,4,4,9,11,2,5,7,6,1,4,3,17,6,1,1,4,2,5,3,11,0,20,0,3,0,2,12,5,0,1,2,2,1,9,1,2,0,0,0,0,5,2,2,8,2,0,1,4,4,2,11,4,3,1,7,3,9,8,1,4,3,6,3,3,3,3,3,0,16,9,2,3,1,1,1,3,8,2,4,4,1,3,1,1,1,14,16,5,4,1,3,4,2,6,3,0,2,5,2,1,8,7,1,3,1,4,2,5,3,0,1,5,2,0,1,2,1,3,4,7,6,9,6,2,5,3,2,0,7,4,7,5,6,12,12,4,11,10,6,4,4,1,10,15,15,10,2,5,8,7,8,8,1,2,7,5,18,2,11,9,6,3,3,9,11,4,8,7,6,12,3,3,8,8,3,6,2,3,9,4,2,7,11,6,7,7,10,17,11,4,3,13,7,0,18,5,0,17,4,11,6,5,5,1,11,4,1,9,9,8,2,2,4,6,11,3,4,22,10,1,13,10,4,5,8
superpathway of hexuronide and hexuronate degradation,0,0,2,0,14,17,18,1,5,3,16,1,0,16,0,0,2,12,10,0,8,12,24,8,10,2,22,32,17,1,0,12,0,21,0,13,0,0,25,9,6,21,5,33,6,7,16,11,16,32,8,8,12,6,12,8,10,7,11,10,7,11,8,16,10,10,14,7,8,14,6,8,11,14,9,17,12,11,12,21,14,10,11,8,12,23,13,6,5,10,10,11,6,6,13,14,5,8,7,9,17,11,12,12,7,12,9,13,17,6,8,16,17,5,12,16,10,14,7,9,10,3,12,13,18,11,10,17,15,9,13,8,2,2,2,1,0,10,1,4,5,4,3,7,2,9,4,10,1,11,3,4,3,3,3,3,6,3,3,4,4,3,4,1,1,5,5,5,1,7,4,3,2,3,14,2,17,2,3,3,9,4,3,5,4,11,2,5,3,3,7,2,5,5,4,10,6,15,2,12,9,3,4,14,3,3,2,10,11,3,4,11,3,9,14,5,3,7,2,8,7,7,8,11,2,5,3,4,2,5,0,7,2,4,2,4,0,9,5,35,9,5,8,11,11,9,10,8,3,6,11,12,12,12,12,13,13,8,25,17,8,2,1,7,13,6,13,11,6,18,3,5,8,9,9,6,11,7,4,11,2,28,9,14,8,20,11,13,4,13,18,10,5,11,9,8,6,8,8,15,11,14,10,13,6,11,12,12,18,7,13,17,10,18,11,15,15,14,9,2,8,0,7,14,18,8,9,6,10,0,11,8,6,5,17,8,7,14,10,7,20,6,10,12,7,10,7,10,9,8,8
"superpathway of histidine, purine, and pyrimidine biosynthesis",0,0,5,0,17,10,30,0,21,18,16,4,0,14,0,0,1,15,0,0,11,22,13,15,18,3,11,0,8,6,0,0,0,23,0,0,0,0,0,8,6,19,7,3,24,7,3,3,21,8,18,3,11,13,12,9,3,12,15,4,8,11,18,4,4,9,16,14,26,24,15,4,3,17,0,22,6,7,6,15,1,8,14,9,6,17,26,15,2,16,23,8,9,10,11,8,12,12,8,13,14,25,11,8,16,19,10,15,15,9,16,21,8,10,6,6,10,12,17,20,14,8,16,10,15,24,4,15,10,21,26,7,1,10,7,5,4,6,12,3,6,1,0,8,12,8,2,12,6,16,5,10,3,10,9,7,7,4,6,17,4,6,7,1,0,11,3,4,2,17,7,5,2,6,8,12,1,24,1,6,0,0,12,14,1,4,5,11,16,7,2,1,1,7,8,15,13,5,6,8,8,6,8,2,14,15,7,17,11,2,3,23,2,11,5,9,12,4,4,0,3,9,0,2,5,12,11,6,0,1,2,11,2,11,4,8,0,6,10,3,4,1,4,10,13,9,9,4,10,15,9,7,11,8,6,21,12,5,7,18,11,2,6,2,11,12,1,8,9,6,14,7,3,8,4,12,19,11,3,12,8,10,7,3,16,2,2,3,6,15,8,5,24,1,6,8,5,3,8,14,12,9,13,12,22,11,4,9,13,17,7,11,15,8,11,13,7,0,7,0,10,18,6,3,4,16,2,6,8,2,15,4,4,6,8,6,9,1,11,16,4,0,11,3,1,1,16,6,12,2,3
superpathway of L-arginine and L-ornithine degradation,0,0,2,0,8,1,8,0,18,1,6,3,0,0,0,0,4,0,0,0,1,4,9,6,24,1,3,0,0,1,0,0,0,3,0,0,1,0,0,2,0,5,0,0,2,1,0,1,4,0,2,0,1,4,8,0,0,0,1,0,0,1,1,0,0,0,6,0,1,1,1,1,0,0,0,1,0,0,2,1,0,0,0,0,1,4,1,0,0,0,5,0,1,0,3,0,0,0,0,5,2,3,0,0,4,7,0,3,4,0,0,7,4,2,0,0,3,6,0,5,1,0,0,2,1,15,0,0,5,11,0,0,0,2,0,0,0,0,0,0,2,0,1,1,2,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,4,0,0,0,0,9,1,0,0,10,3,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,4,2,0,0,0,2,0,0,1,0,0,2,0,5,0,0,2,0,1,0,3,0,0,5,0,1,0,0,4,1,0,0,4,3,1,0,6,3,0,0,0,0,1,0,9,1,0,1,0,5,0,3,0,0,12,2,0,0,0,0,1,1,3,2,0,0,0,0,0,0,3,1,0,0,0
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0,0,1,0,15,3,13,0,13,1,11,1,0,0,0,0,0,0,0,0,2,5,7,1,23,2,1,0,1,0,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,6,0,2,0,1,2,10,0,0,1,1,0,3,1,6,0,0,0,5,0,1,5,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,5,1,0,1,0,12,0,0,0,6,0,0,1,1,5,4,8,1,0,4,7,0,3,6,0,0,5,0,0,0,4,2,4,0,8,1,0,2,2,2,9,0,0,9,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,1,5,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,0,0,0,8,0,1,0,6,3,0,0,0,0,1,0,0,0,1,3,0,0,6,0,0,6,6,0,0,0,3,0,0,4,0,0,1,0,8,0,0,2,0,3,0,0,2,1,1,0,0,0,0,4,0,0,0,2,6,0,0,8,0,0,0,0,0,1,0,5,1,0,0,0,5,0,1,0,0,18,2,0,4,0,0,1,0,6,3,0,1,0,0,0,0,5,1,1,0,0
superpathway of L-aspartate and L-asparagine biosynthesis,50,42,30,39,24,48,32,52,25,25,18,1,51,32,35,23,38,30,40,51,24,37,40,15,21,48,26,34,38,35,42,39,49,42,48,25,53,46,50,57,35,25,22,28,27,30,31,18,18,20,21,23,17,22,19,22,31,28,28,28,17,29,25,25,25,23,13,21,30,19,33,22,26,35,23,27,24,31,30,29,34,22,25,21,22,28,14,29,29,37,19,22,27,23,20,35,37,25,30,24,39,20,33,38,18,17,26,29,25,29,24,22,22,29,24,31,27,14,24,16,33,34,32,24,15,23,24,36,20,17,17,34,21,18,24,23,33,26,31,30,20,30,24,24,27,17,24,30,29,32,23,25,16,21,27,26,26,18,31,36,30,21,28,30,25,29,25,25,10,27,21,22,26,27,26,16,15,14,21,21,26,24,26,24,36,24,29,24,24,18,31,20,30,33,14,20,30,29,28,24,20,21,22,25,33,20,30,29,29,23,26,15,23,25,39,25,24,25,20,23,28,43,23,32,24,32,23,22,25,19,14,20,18,23,28,19,9,22,25,2,36,18,29,16,38,31,28,28,20,26,19,36,40,26,25,20,30,25,25,30,22,24,15,22,23,20,26,27,30,17,16,36,25,15,19,28,15,18,19,25,28,23,26,24,23,22,32,19,26,20,22,26,25,35,14,23,18,39,22,20,30,27,30,29,25,27,24,25,30,26,27,21,21,22,26,18,40,23,22,17,17,5,27,24,35,34,25,26,36,24,27,22,28,19,26,22,26,27,27,34,25,21,35,22,23,27,22,20,34,23,24
superpathway of L-isoleucine biosynthesis I,41,33,43,39,22,25,36,32,29,40,32,54,54,31,34,44,41,42,45,42,38,22,29,21,23,31,23,34,30,32,32,25,38,23,41,41,45,28,48,30,42,31,31,30,37,36,37,49,31,39,33,37,33,32,22,38,35,33,28,44,33,40,25,35,34,33,28,25,33,31,27,40,40,32,44,39,43,26,38,31,40,31,38,27,40,24,28,30,44,27,31,33,37,30,27,40,34,31,30,30,28,26,37,34,35,27,41,20,31,37,19,33,23,42,33,39,37,27,42,27,38,37,29,43,39,20,28,36,32,25,39,44,47,34,47,36,35,42,27,34,45,38,44,29,40,38,31,33,43,28,34,46,43,37,35,36,32,36,35,35,43,42,31,45,36,36,45,31,42,20,35,34,49,34,20,41,34,38,32,33,33,30,27,25,40,36,34,35,35,26,43,37,38,26,41,33,38,31,40,32,26,26,33,34,32,35,33,29,34,31,39,31,36,42,30,40,32,32,36,29,30,43,42,28,36,32,29,23,38,44,36,30,47,38,47,43,10,30,44,10,39,44,40,44,30,38,33,36,31,21,31,39,28,32,30,24,36,38,30,21,35,38,27,46,30,39,35,39,31,35,26,41,28,31,45,39,33,39,38,28,30,19,42,55,26,36,29,36,30,24,40,39,33,30,40,43,37,36,29,33,30,39,34,42,21,31,27,40,25,35,33,38,19,26,40,34,33,53,27,37,32,10,39,43,37,30,40,28,32,33,24,53,25,28,26,29,32,34,32,31,43,37,32,26,35,34,29,39,21,36,41
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",0,0,8,0,13,3,14,0,16,5,10,0,0,14,0,0,4,5,0,0,1,7,15,11,16,1,12,0,1,6,0,0,0,9,0,0,0,0,0,4,7,15,14,4,31,5,14,12,23,21,18,4,9,16,21,4,11,24,9,7,18,16,19,11,8,15,18,17,15,17,23,23,15,11,24,12,5,6,5,11,5,13,35,8,8,17,10,14,22,12,26,9,8,8,21,11,19,11,20,17,12,11,12,2,15,21,7,35,22,12,12,17,14,14,15,16,11,17,16,25,10,12,12,18,11,20,9,6,12,19,16,13,12,11,12,17,31,16,16,9,5,13,29,18,9,16,18,20,19,12,25,10,33,15,9,7,17,21,11,17,4,19,5,21,13,8,20,15,9,23,33,33,9,11,18,11,13,19,34,24,16,21,19,18,21,18,16,13,21,13,17,19,6,24,23,32,13,12,10,11,26,19,16,7,18,8,3,21,16,2,16,20,18,20,5,8,17,14,10,17,21,5,20,14,16,15,21,17,27,35,21,18,15,20,35,29,9,20,21,7,12,13,5,27,6,11,11,20,26,15,13,18,14,7,11,18,26,17,12,19,19,13,32,22,14,21,10,16,10,16,23,24,24,13,20,16,20,22,27,14,19,5,21,10,22,21,15,15,17,12,18,8,13,18,21,18,26,12,12,25,8,15,33,11,25,13,12,12,19,19,23,16,12,15,12,11,8,22,9,38,26,11,14,22,6,9,18,8,12,21,16,20,15,25,27,23,8,18,18,25,10,14,18,20,11,9,20,19,10,15,12
superpathway of L-methionine biosynthesis (by sulfhydrylation),0,0,12,0,16,5,11,0,16,6,12,1,0,5,0,0,2,0,0,0,5,19,18,11,13,0,8,0,5,5,0,0,0,13,0,0,2,0,0,2,1,11,5,5,8,1,1,4,10,2,10,0,3,14,18,3,2,4,6,1,8,8,11,4,7,5,8,5,4,8,9,3,4,3,0,6,4,1,1,3,1,3,1,3,3,13,11,2,2,12,16,3,4,1,22,4,6,4,7,7,5,19,7,1,18,10,15,9,9,5,4,15,5,5,4,5,6,12,10,14,9,2,5,9,7,19,0,2,18,11,7,8,1,5,1,0,0,1,6,1,2,0,0,1,10,7,1,6,0,7,0,6,0,0,5,3,5,0,1,0,1,1,2,0,0,4,1,0,2,8,2,1,0,3,6,1,0,1,0,1,0,0,0,3,2,2,2,2,4,3,1,0,5,2,1,6,5,0,2,1,1,1,3,1,5,4,2,0,12,0,0,18,0,5,4,1,0,1,0,0,2,7,0,1,1,5,6,1,0,1,0,2,2,1,1,1,0,4,3,0,1,1,2,0,0,2,3,2,6,8,7,2,6,3,3,13,2,1,1,19,7,2,1,0,4,4,1,1,2,2,3,4,0,5,1,8,12,6,1,3,4,9,0,1,8,0,1,1,2,16,2,4,8,1,8,4,3,1,7,17,1,2,6,2,15,11,1,1,14,3,3,0,16,9,1,0,7,0,3,0,4,1,5,1,5,9,1,1,0,0,14,3,5,10,1,0,3,2,11,5,1,1,2,2,0,0,9,2,0,4,1
superpathway of L-methionine biosynthesis (transsulfuration),0,0,20,0,22,13,22,0,18,10,18,1,0,10,0,46,7,3,0,0,10,24,13,27,31,9,16,0,11,9,0,0,0,12,0,0,0,1,0,16,8,23,16,8,27,11,16,26,21,19,19,7,13,17,24,1,18,12,17,19,28,13,17,25,7,13,25,20,21,8,30,16,17,23,26,12,12,21,21,23,25,9,29,15,27,14,24,15,19,28,20,15,20,19,17,25,15,24,25,23,14,21,10,9,18,12,25,24,23,30,8,24,34,24,14,18,17,19,9,23,20,6,16,25,22,23,22,12,21,27,13,18,7,10,11,8,30,26,16,12,3,11,26,12,10,13,16,32,26,5,11,11,28,6,16,2,9,22,9,8,5,21,10,13,8,9,8,16,2,24,32,32,14,13,16,10,26,22,33,28,23,22,18,13,13,11,8,14,13,29,13,17,19,20,31,35,6,18,4,5,26,12,27,16,14,13,3,14,11,11,20,22,40,15,8,11,16,11,10,13,14,1,15,12,19,11,16,33,38,28,23,31,35,17,18,27,6,19,18,8,8,15,11,23,8,17,12,20,20,15,16,19,20,10,13,26,22,26,18,16,20,14,22,19,12,31,15,20,13,37,26,28,15,26,27,19,25,18,25,7,19,12,24,13,24,18,12,24,17,14,14,6,22,16,25,18,28,21,13,21,16,15,20,13,13,18,10,12,16,14,24,23,20,22,10,19,6,37,18,20,28,6,22,19,18,26,25,6,13,30,21,23,26,21,27,22,12,29,21,13,23,16,18,31,14,15,15,24,12,33,13
superpathway of L-phenylalanine biosynthesis,0,0,7,0,17,3,19,0,21,4,16,2,0,0,0,0,8,0,0,0,7,16,19,19,22,4,17,0,2,2,0,0,0,13,0,0,1,0,0,4,9,18,12,0,14,7,5,18,27,5,5,5,29,21,29,38,20,13,3,0,5,10,12,0,1,0,16,0,3,17,4,7,1,3,0,6,4,1,0,2,0,4,5,1,3,14,9,1,2,2,17,1,4,2,22,0,5,3,5,11,9,25,7,0,16,19,1,15,13,3,2,24,12,2,1,6,5,22,0,16,4,1,6,12,11,20,0,4,14,21,0,1,3,13,5,19,2,37,5,3,4,6,3,29,8,16,2,16,4,6,11,14,11,12,8,3,5,21,2,9,3,24,9,2,12,4,3,4,3,14,25,12,1,18,11,16,10,3,8,1,5,24,20,25,13,16,12,6,1,31,9,13,6,14,13,21,10,25,9,7,4,16,10,10,20,6,10,23,16,7,2,10,7,9,19,5,24,8,7,1,10,4,10,10,3,8,18,30,1,14,37,21,0,14,13,2,11,3,2,4,2,1,2,24,8,8,13,25,14,19,19,21,19,14,17,20,9,8,8,21,21,14,4,18,11,23,10,5,22,11,18,34,16,20,17,15,18,26,23,10,19,6,4,7,10,11,2,27,11,26,10,6,9,22,21,22,25,13,13,11,7,4,4,10,14,13,10,14,15,19,9,4,29,15,23,19,14,15,6,27,13,5,16,21,9,25,17,16,5,24,25,21,19,9,7,31,5,15,24,17,2,5,10,2,23,15,19,16,16,9,10
superpathway of L-tryptophan biosynthesis,0,0,0,0,19,6,15,0,0,0,8,0,0,0,0,0,0,0,0,0,10,21,24,0,22,0,8,0,0,5,0,0,0,16,0,0,0,0,0,0,0,10,2,0,3,3,4,1,20,1,1,1,2,16,0,2,0,3,0,0,7,7,14,0,0,0,18,0,9,15,4,6,2,1,0,4,4,0,1,1,0,1,5,0,3,26,4,0,0,0,19,2,1,0,18,0,2,7,8,17,3,21,8,0,16,18,0,0,17,0,0,26,15,2,0,2,9,17,2,17,3,1,0,8,12,17,0,0,16,13,0,1,3,10,0,0,0,0,0,0,2,0,4,0,11,13,0,10,0,3,0,0,1,6,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,20,7,4,0,0,11,1,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,9,9,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,21,0,1,0,0,0,0,0,0,1,0,0,1,0,0,12,2,0,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,6,9,6,13,0,2,0,0,19,0,0,0,19,1,0,5,0,1,4,1,0,1,3,14,0,0,19,0,0,14,13,0,0,0,11,0,0,19,0,3,5,0,26,3,3,16,1,11,1,9,0,0,12,0,5,0,0,16,8,2,0,14,4,5,1,14,11,0,0,1,0,8,0,21,1,0,3,0,23,0,5,2,1,22,7,0,15,0,2,0,1,20,4,1,0,0,1,0,0,14,7,6,1,1
superpathway of L-tyrosine biosynthesis,0,0,6,0,11,6,19,0,20,8,24,1,0,0,0,0,4,0,0,0,7,17,19,19,20,4,20,0,9,2,0,0,0,13,0,0,1,0,0,8,8,14,8,0,20,4,0,18,27,6,10,3,29,27,19,37,15,10,3,0,7,4,24,0,0,0,12,0,5,21,6,8,6,0,0,4,9,1,7,1,1,2,6,1,2,18,4,1,0,3,8,3,1,0,17,0,8,4,8,9,10,16,3,0,14,19,0,19,16,2,0,15,13,5,1,4,14,12,0,21,4,1,6,14,4,10,0,2,30,20,0,0,3,10,3,20,1,29,2,2,3,3,5,22,10,17,1,17,9,3,5,9,18,16,4,5,3,30,2,18,3,22,10,3,19,8,3,3,2,18,26,9,0,16,16,14,7,4,6,3,3,17,22,11,17,15,1,10,0,22,8,5,3,9,19,29,7,14,8,4,2,12,17,6,21,6,9,21,8,5,2,18,5,16,19,8,9,5,0,0,10,4,12,7,5,4,10,18,2,11,41,18,2,17,11,3,5,4,2,2,5,2,4,18,15,13,12,14,22,17,17,25,19,6,12,26,12,5,12,21,21,8,6,20,2,37,16,4,17,6,28,28,25,24,13,12,10,15,17,13,18,13,2,10,10,14,9,10,16,15,18,12,12,18,29,16,19,7,10,18,3,8,11,14,20,7,5,19,8,23,5,4,23,13,22,17,14,11,11,26,11,10,13,8,5,20,19,7,3,19,18,28,7,13,10,25,14,9,19,20,4,6,17,4,32,17,12,13,21,6,10
superpathway of lipopolysaccharide biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
superpathway of menaquinol-8 biosynthesis II,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,4,2,2,0,0,2,1,0,0,2,1,2,1,2,2,1,0,7,4,3,0,1,0,0,0,0,0,1,0,2,3,1,0,1,2,2,2,0,2,1,4,0,0,3,1,3,0,1,0,1,5,0,0,0,0,0,1,3,1,0,0,2,0,3,0,0,2,0,4,0,15,1,1,7,0,2,1,0,5,2,1,2,2,0,0,1,5,1,0,0,0,2,5,2,3,0,0,2,1,4,0,4,1,1,3,0,6,0,1,1,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,0,1,2,6,2,0,1,0,0,0,0,2,0,1,1,0,2,0,1,3,3,2,0,6,0,1,0,0,5,5,2,8,0,0,0,2,0,0,2,0,2,0,3,0,1,0,3,0,0,0,2,0,3,3,0,1,1,0,0,0,0,1,2,0,3,0,0,0,1,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,2,3,0,2,0,3,4,0,0,0,8,0,0,0,0,0,0,4,0,0,0,1,0,5,0,0,0,3,2,1,2,0,0,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,1,0,6,0,0,0,3,0,0,0,0,4,2,10,0,0,4,0
